"date","company name","spend","impressions","likecount","commentcount","repostcount","total engagements","conversion","action","type","posturl","postcontent","profileurl","videourl","sharedposturl","created_at","size","url","number of faces","face emotion","face position","face area percentage %","objects","number of objects","primary object","primary object position","primary object area percentage %","secondary object","secondary object position","secondary object area percentage %","text","text length","dominant colour","cta","logos","logo 1 name","logo 1 position","logo 1 area percentage %","logo 2 name","logo 2 position","logo 2 area percentage %","number of persons","person area %","person area","style","tone","voice","sentiment","text area %","empty space %","topic","language","# faces","# persons","# objects","# text length"
"2023-09-04","vertiv","24.89","1312","38","0","0","38","9","Post","Image","https://www.linkedin.com/feed/update/urn:li:activity:7104432944907210752","Vertiv's STEM Day at http://ms.spr.ly/60449uyl2 Field was a hit! Our young guests got an exclusive look at the behind-the-scenes magic that powers the game. From data centers to energy solutions, they saw how Vertiv's innovative solutions play a pivotal role in supporting the Columbus Crew's success on the field!http://ms.spr.ly/60469uyl4#STEMEducation #InnovateWithVertiv #VertivXCrew","https://www.linkedin.com/company/vertiv/","","","2023-09-13 9:50:47","800x800","https://rocketium.com/images/cran/prod/assets/2023-09-12-11:58:58973918-1693828803699.jpeg","10","Joy","center-right","0.225625","Person, Person, Person, Person, Person, Person, Person, Person, Person, Person","10","Person","center","5.17170182","Person","center-right","4.520756499","VERTIV|SH|Official Data Center Equipment|Provider for the Columbus Crew|Nationwide|DIS|56.|CAVER|Unlocking Game-Changing Tech|STEM Day Sparks Curiosity and Innovation!|COLUMBUS|C|96|CREW","172","black","","Vertiv Co","Vertiv Co","top-left","2.020625","","","0","10","medium","28.4608929","NA","NA","NA","NA","17.2","> 40%","Offerings","English","5 or more","5 or more","5 or more","> 60"
"2023-09-04","schneider-electric","8.21","342","26","0","4","30","6","Post","Image","https://www.linkedin.com/feed/update/urn:li:activity:7104426533041152000","Are you ready to tap into the future of energy?⚡Electricity 4.0 represents a convergence of electric and digital, empowering your power systems to become greener and smarter.🤓Unlock a flexible & reliable energy source for your business: http://spr.ly/6045PaGjz#LifeIsOn #Electricity40","https://www.linkedin.com/company/schneider-electric/","","","2023-09-13 9:46:04","800x476","https://rocketium.com/images/cran/prod/assets/2023-09-12-10:59:11342398-1693827275062.jpeg","0","","","0","Light bulb","1","Light bulb","center-right","5.71787252","","","0","How will|energy drive|economies and|sustain societies?|Life Is On Schneider|Electric|ت|&|Do","82","darkslategray","","Schneider Electric","Schneider Electric","bottom-left","1.930934874","","","0","0","small","0","Modern","Informative","Friendly","Positive","8.2","> 40%","Digital Transformation","English","0","0","1","> 60"
"2023-09-07","schneider-electric","6.30","390","26","0","3","29","5","Post","Document","https://www.linkedin.com/feed/update/urn:li:activity:7105651994576527360","Who said, safety and style can't go hand in hand? Look no further, check out our range of reliable and stylish Livia switches http://spr.ly/6183PxaIT","https://www.linkedin.com/company/schneider-electric/","","","2023-09-13 9:46:04","100x100","","0","","","0","","0","","","0","","","0","","0","","","","","","0","","","0","0","","0","NA","NA","NA","NA","0","> 40%","Offerings","English","0","0","0","N/A"
"2023-09-11","vertiv","2.06","88","1","0","0","1","0","Post","Article","https://www.linkedin.com/feed/update/urn:li:activity:7106902708342661120","Save space 📏 and time ⏳ with Vertiv™ Liebert® APT solution. It streamlines power systems in just one box. Aside from being factory fitted and tested before shipment, this innovative #power solution brings you up to 30% of footprint savings.👣Download this white paper to learn more about adaptive power solution in high density #datacenter applications.  http://ms.spr.ly/60499bjvU","https://www.linkedin.com/company/vertiv/","","http://ms.spr.ly/60499bjvU","2023-09-13 9:50:47","800x600","https://rocketium.com/images/cran/prod/assets/2023-09-12-11:59:04974713-1694417641033.jpeg","2","Joy","top-right","0.151875","Pants, Person, Pants, Person, Outerwear, Jeans, Top","7","Person","center-right","5.112793886","Person","center-right","5.060402988","all|I","3","black","","","","","0","","","0","2","medium","10.17319687","","","","","0.15","> 40%","Offerings","English","2 to 4","2 to 4","5 or more","< 20"
"2023-09-07","vertiv","2.20","145","8","0","1","9","0","Post","Article","https://www.linkedin.com/feed/update/urn:li:activity:7105504996904841216","Today, 9 a.m. EST, unlock insights into reliable, eco-friendly backup solutions! Industry experts unveil the roadmap to cleaner alternatives, discussing battery storage innovations and strategies for a green transition. Don't miss out on this transformative panel! http://ms.spr.ly/60459nPkt#CleanPower #DataCenterInsights","https://www.linkedin.com/company/vertiv/","","http://ms.spr.ly/60459nPkt","2023-09-13 9:50:47","800x419","https://rocketium.com/images/cran/prod/assets/2023-09-12-12:00:04932625-1694084400790.jpeg","4","Joy","center-left","0.9355608592","Person, Person, Person, Person, Suit","5","Person","center-left","4.857573276","Person","center","4.410758268","3|DCD > Back-up & Generation|New episode Panel: The path to reliable, emission free backup|Lucas Beran|Dell'Oro Group|Nancy Novak|Compass Datacenters|Sept 7|9:00am EST|Steven Shapiro|EYP Mission|Critical Facilities|Brad Luyster|Vertiv","220","black","","","","","0","","","0","4","medium","18.33308819","NA","NA","NA","NA","22","> 40%","Sustainability","English","2 to 4","2 to 4","5 or more","> 60"
"2023-09-01","vertiv","2.74","306","14","0","0","14","2","Post","Article","https://www.linkedin.com/feed/update/urn:li:activity:7103375973923848193","⏰ Save the date: Sept. 7, 9 am EST! 🗓️ Discover the path to greener backup strategies without sacrificing dependability. Industry experts will unravel innovations in battery storage systems and their role in a sustainable future. Don't miss out! http://ms.spr.ly/60479nP11#GreenTech #PanelDiscussion","https://www.linkedin.com/company/vertiv/","","http://ms.spr.ly/60479nP11","2023-09-13 9:52:07","800x419","https://rocketium.com/images/cran/prod/assets/2023-09-12-12:14:07131515-1693576801858.jpeg","4","Joy","center-left","0.9355608592","Person, Person, Person, Person, Suit","5","Person","center-left","4.857573276","Person","center","4.410758268","3|DCD > Back-up & Generation|New episode Panel: The path to reliable, emission free backup|Lucas Beran|Dell'Oro Group|Nancy Novak|Compass Datacenters|Sept 7|9:00am EST|Steven Shapiro|EYP Mission|Critical Facilities|Brad Luyster|Vertiv","220","black","","","","","0","","","0","4","medium","18.33308819","NA","NA","NA","NA","22","> 40%","Sustainability","English","2 to 4","2 to 4","5 or more","> 60"
"2023-09-06","rockwell-automation","150.51","7299","62","0","6","68","15","Post","Video (LinkedIn Source)","https://www.linkedin.com/feed/update/urn:li:activity:7105210193579294720","When an aging control and electrical system was causing downtime for a water district, RH2 Engineering stepped in to help. “We used Studio 5000® programming to look at the whole system and restart pump stations without operator intervention,” Clayton explains. “That led to a decrease in operator overtime and more uptime for the customer.” In fact, within the first 2 years of the control system upgrade, the District’s overtime dropped by as much as 25%. See the full story: rok.auto/csnw","https://www.linkedin.com/company/rockwell-automation/","https://dms.licdn.com/playlist/vid/D5605AQEVBzo4SkfdbQ/mp4-720p-30fp-crf28/0/1694013970067?e=1695031200&v=beta&t=ji0ePj8Gn9SM-CyCwAT1CSZWgJYHP5QCePehYgBVSM4","","2023-09-13 9:55:08","640x360","https://rocketium.com/images/cran/prod/assets/2023-09-12-13:14:31318065-1694013958815.jpeg","0","","","0","","0","","","0","","","0","","0","indianred","","PriceSmart","PriceSmart","center","75.25","","","0","0","","0","","","","","0","20% to 40%","Offerings","English","0","0","0","N/A"
"2023-09-06","schneider-electric","47.89","9213","226","5","12","243","41","Post","Image","https://www.linkedin.com/feed/update/urn:li:activity:7105099072629334016","Do you monitor your electrical systems? See how connected power meters and current sensors help #SkipTheDrama and get other valuable insights in this report. http://spr.ly/6048PabHg#ElectricalAuditReport #LifeIsOn","https://www.linkedin.com/company/schneider-electric/","","","2023-09-13 9:46:04","800x420","https://rocketium.com/images/cran/prod/assets/2023-09-12-10:59:12980255-1693987621073.jpeg","1","Joy","top-right","0.9333333333","Person, Helmet","2","Person","center-right","20.90676556","Helmet","top-right","2.212519833","76%|of sites have little or no monitoring|of power systems*|Life Is On Schneider|Electric|*Based on 400 EcoConsult|audits at customer sites","132","darkslategray","","Schneider Electric","Schneider Electric","bottom-left","0.75","","","0","1","medium","20.90676556","","","","","13.2","> 40%","Offerings","English","1","1","2 to 4","> 60"
"2023-09-04","schneider-electric","71.12","4135","96","0","17","113","4","Post","Video (LinkedIn Source)","https://www.linkedin.com/feed/update/urn:li:activity:7104357461737836546","Discover how Schneider Electric is teaming with partners, customers, and suppliers to accelerate the world’s collective journey to net zero. Listen to experts discuss the latest strategies, tools, and training offerings for advancing decarbonization; meet global award winners from Schneider’s first-ever Sustainability Impact Awards; and hear how the awards program is expanding in 2023 to recognize customers and suppliers as well as partners.","https://www.linkedin.com/company/schneider-electric/","","https://www.linkedin.com/video/event/urn:li:ugcPost:7104357460722806784/?isInternal=true","2023-09-13 9:46:04","100x100","","0","","","0","","0","","","0","","","0","","0","","","","","","0","","","0","0","","0","NA","NA","NA","NA","0","> 40%","Sustainability","English","0","0","0","N/A"
"2023-09-08","rockwell-automation","15.00","2580","55","0","5","60","9","Post","Video (LinkedIn Source)","https://www.linkedin.com/feed/update/urn:li:activity:7105896455265013760","Join us on 9/19 for the fifth installment in our NIST webinar series where we will discuss the ‘Respond’ function of the #NIST #Cybersecurity Framework. Attendees will learn how to prepare today to make their manufacturing operations more resilient to #cyberattacks tomorrow. https://rok.auto/3Pasm9x#IndustrialCybersecurity #OTCybersecurity","https://www.linkedin.com/company/rockwell-automation/","https://dms.licdn.com/playlist/vid/D5605AQG_G-fOjzshEg/mp4-720p-30fp-crf28/0/1694177558694?e=1695031200&v=beta&t=LflAUCp5AbsHFC4njlFnS2gbg7YfeQ_vyiY-tXt4khU","","2023-09-13 9:55:08","640x360","https://rocketium.com/images/cran/prod/assets/2023-09-12-13:14:26978005-1694177554249.jpeg","1","Joy","top-left","6.094618056","Helmet, Computer keyboard, Person, Hat","4","Person","center","75.60727275","Computer keyboard","bottom-right","8.998971324","WEBINAR|How to Mitigate Losses|cyberattacks","40","rosybrown","","","","","0","","","0","1","large","75.60727275","NA","NA","NA","NA","4","10% to 20%","Cybersecurity","English","1","1","2 to 4","40 to 60"
"2023-09-01","rockwell-automation","141.44","6686","82","0","9","91","29","Post","Article","https://www.linkedin.com/feed/update/urn:li:activity:7103394095414353921","According to the Consumer-Packaged Goods (CPG) Edition of the 8th Annual State of Smart Manufacturing Report, 90% of #CPG manufacturers believe they will maintain or increase the size of their workforce as a result of technology. Tune in to this podcast episode with @packaging-strategies-magazine to hear from Rockwell's Lee Coffey on more key findings and trends for CPG manufacturers.","https://www.linkedin.com/company/rockwell-automation/","","https://rok.auto/3YZNB2c","2023-09-13 9:56:37","800x533","https://rocketium.com/images/cran/prod/assets/2023-09-12-13:44:29533153-1693581129915.jpeg","0","","","0","Food, Food, Food, Food","4","Food","bottom-right","2.087796755","Food","center-right","1.717295343","1117","3","darkgray","","","","","0","","","0","0","small","0","","","","","0.15","> 40%","Digital Transformation","English","0","0","2 to 4","< 20"
"2023-09-02","schneider-electric","1.96","1036","78","2","1","81","10","Post","Video (LinkedIn Source)","https://www.linkedin.com/feed/update/urn:li:activity:7103587618151411712","While you share and enjoy some chocolate, consider that it may have been touched by one of Livetech’s robots.Livetech uses the latest EcoStruxure technologies to build high-performance, environmentally-friendly robotic packaging systems.This means your favorite treats are packaged with sustainability and efficiency in mind. So, go ahead and open that box of chocolates.Learn more: http://spr.ly/6041PtUIv#LifeIsOn","https://www.linkedin.com/company/schneider-electric/","https://dms.licdn.com/playlist/vid/D4D10AQGAV5k-n4qC_Q/mp4-720p-30fp-crf28/0/1693627251951?e=1695031200&v=beta&t=a-9H3wrSE2QRwVrIPrUps87g4toXFJqr4rarg3eP0P0","","2023-09-13 9:46:04","1280x720","https://rocketium.com/images/cran/prod/assets/2023-09-12-10:59:43156530-1693627234529.jpeg","0","","","0","Building","1","Building","center","89.21203429","","","0","UTICA|Life Is On Schneider|Electric|IN ASSOCIATION WITH|LIVETECH|Schneider","68","darkslategray","","Schneider Electric, Schneider Electric","Schneider Electric","center","2.36859809","Schneider Electric","top-right","0.5116102431","0","small","0","NA","NA","NA","NA","3.4","< 10%","Sustainability","English","0","0","1","> 60"
"2023-09-06","ge","13.08","2810","199","4","5","208","44","Post","Video (LinkedIn Source)","https://www.linkedin.com/feed/update/urn:li:activity:7105180443884314625","Happening Now: Larry Culp, GE Chairman & CEO, GE Aerospace CEO, and Carol Dweck, Psychologist and author, sit down to discuss the power of growth mindsets and how to unlock potential and opportunity. Live here: https://lnkd.in/etwe3HZ7","https://www.linkedin.com/company/ge/","https://dms.licdn.com/playlist/vid/D4E10AQE2ICOb4d0stA/mp4-720p-30fp-crf28/0/1694007017089?e=1695031200&v=beta&t=_cJ5cCt21b-D5WPZTqMbXAuOA5faO6gwR9S_enIMRtY","","2023-09-13 9:59:09","720x720","https://rocketium.com/images/cran/prod/assets/2023-09-12-14:23:25040231-1694007009709.jpeg","0","","","0","Packaged goods","1","Packaged goods","center","99.14941058","","","0","GE|THE LEAN MINDSET|THE PURSUIT OF PROGRESS|LIVE TODAY|@ 09:30 AM EST","64","darkslateblue","","General Electric","General Electric","top-center","1.328896605","","","0","0","small","0","NA","NA","NA","NA","6.4","< 10%","Employee Branding","English","0","0","1","> 60"
"2023-09-06","ge","59.11","3553","180","6","13","199","1","Post","Video (LinkedIn Source)","https://www.linkedin.com/feed/update/urn:li:activity:7105169168928231424","Happening NowTune in to see CEOs, athletes and creators discuss the mindset of continuous improvement. Streaming live: https://lnkd.in/etwe3HZ7#TheLeanMindset","https://www.linkedin.com/company/ge/","https://dms.licdn.com/playlist/vid/D4E10AQHi0cQe43DHuA/mp4-720p-30fp-crf28/0/1694004324805?e=1695031200&v=beta&t=nFvY7Aigq3QPPuQyTDQZUmR9yVtWIy14BE2FHbbMK1o","","2023-09-13 9:59:09","720x720","https://rocketium.com/images/cran/prod/assets/2023-09-12-14:23:28050604-1694004306116.jpeg","0","","","0","Packaged goods","1","Packaged goods","center","95.30505535","","","0","(GE)|THE LEAN MINDSET|THE PURSUIT OF PROGRESS|LIVE TODAY","52","midnightblue","","General Electric","General Electric","top-center","1.265625","","","0","0","small","0","NA","NA","NA","NA","5.2","< 10%","Events","English","0","0","1","40 to 60"
"2023-09-01","ge","199.70","8278","370","1","1","372","7","Post","Image","https://www.linkedin.com/feed/update/urn:li:activity:7103355807882199042","Join GE Aerospace at the B20 International Aerospace Conference (September 1-2) in Gwalior, on 'Advancing Towards an Inclusive Global Value Chain.'The conference is focused on bolstering the aerospace supply chain to meet both current and future demands while enhancing production capabilities. Today's conference featured an insightful panel discussion on 'Fostering Global Value Chains in Aerospace Design and Robust Aerospace Manufacturing: The Crucial Role of MSMEs.'Confederation of Indian Industry#GEinIndi","https://www.linkedin.com/company/ge/","","","2023-09-13 9:59:09","800x450","https://rocketium.com/images/cran/prod/assets/2023-09-12-14:23:50779372-1693571997694.jpeg","4","Joy","center","0.35","Person, Person, Person, Person, Table","5","Person","bottom-center","9.704006123","Person","bottom-left","9.640014729","SIDM|PLATINUM PARTHER|DIAMOND PARTNERS|BOEING DEArespace|GR|मान|MINISTRY OF|Ca CIVIL AVIATION|G2 B20|70|ways|INTERNATIONAL|01-tember 2023|MPDC|AEROSPACE CONFERENCE|Moving Towards Inclusive Global Value Chain|lior|BABUKAN|CH","204","gainsboro","","","","","0","","","0","4","large","36.46998392","Modern","Informative","Professional","Positive","20.4","> 40%","Events","English","2 to 4","2 to 4","5 or more","> 60"
"2023-09-03","schneider-electric","5.69","2525","196","2","15","213","51","Post","Image","https://www.linkedin.com/feed/update/urn:li:activity:7103949750508384256","Proud moment: Schneider Electric ranks #1 in Sustainability Magazine  Top 100 Companies for the second year in a row. Let’s continue to lead the way to a more sustainable, electric, and digital future together. Read More- http://spr.ly/6047PsCn5 #Sustainability #SchneiderElectric","https://www.linkedin.com/company/schneider-electric/","","","2023-09-13 9:46:04","800x420","https://rocketium.com/images/cran/prod/assets/2023-09-12-10:59:59081234-1693713601017.jpeg","0","","","0","Magazine, Book","2","Magazine","center-right","36.33350214","Book","center","18.18590282","Schneider Electric|ranks #1 in|Sustainability.|Magazine's|Top 100 Companies|Life Is On Schneider|Electric|Sustainability.|COMPANIES|570|IVE|for|FIVE|MAGAZ|1|Schneider Electric|Schneider","168","darkslategray","","Schneider Electric","Schneider Electric","bottom-left","0.8211309524","","","0","0","small","0","Modern","Informative","Friendly","Positive","16.8","20% to 40%","Sustainability","English","0","0","2 to 4","> 60"
"2023-09-05","schneider-electric","54.90","5437","490","2","31","523","106","Post","Video (LinkedIn Source)","https://www.linkedin.com/feed/update/urn:li:activity:7104701622294917123","Watch us on CNBC-TV18  , on 06th Sept, 5.30 PM onwards where Industry stalwarts discuss The Sustainability Roadmap towards a Greener Economy - a session powered by Schneider Electric Green Yodha #GreenYodha #LifeIsOn #SchneiderElectric","https://www.linkedin.com/company/schneider-electric/","https://dms.licdn.com/playlist/vid/D4D10AQEfJuVWrQiHYA/mp4-720p-30fp-crf28/0/1693892855790?e=1695031200&v=beta&t=0Ph20T3vPVefLkO3nGU9m3HaWwd3Kp2cicDNKb36rNk","","2023-09-13 9:46:04","1280x720","https://rocketium.com/images/cran/prod/assets/2023-09-12-10:59:31703689-1693892840699.jpeg","1","Joy","center","3.117404514","Tie, Person","2","Person","center","37.47080446","Tie","center","2.011219699","6|Years in India|Partnering for|sustainability|Schneider|Green Yodl|Deepak Sharma|Zone President - Greater India, MD & CEO, Schneider Electric India|Schneider|Electric","157","darkslategray","","Schneider Electric","Schneider Electric","top-right","0.5347222222","","","0","1","large","37.47080446","NA","NA","NA","NA","7.85","> 40%","Sustainability","English","1","1","2 to 4","> 60"
"2023-09-07","rockwell-automation","31.46","2110","51","1","5","57","10","Post","Video (LinkedIn Source)","https://www.linkedin.com/feed/update/urn:li:activity:7105675002103922688","Looking for a better way to combat yield losses and unmet production goals? See what’s possible with our Automated Material Handling System solution for #semiconductor fabs and foundries. Want to see more? Discover what’s planned for #semiconductor at Automation Fair coming up in November: https://rok.auto/3sOVs6U","https://www.linkedin.com/company/rockwell-automation/","https://dms.licdn.com/playlist/vid/D5605AQHlp4k7cFYbNg/mp4-720p-30fp-crf28/0/1694124821982?e=1695031200&v=beta&t=Y-qeOIt8-YN0xBRQXKKpAvzyM67QXEla_wfG5YkiNb0","","2023-09-13 9:55:08","640x360","https://rocketium.com/images/cran/prod/assets/2023-09-12-13:14:28586082-1694124775597.jpeg","0","","","0","","0","","","0","","","0","","0","black","","","","","0","","","0","0","","0","NA","NA","NA","NA","0","> 40%","Offerings","English","0","0","0","N/A"
